vector_size,window,total_sentences,accuracy,hits,misses,not found
50.0,3.0,1531.0,0.21034588620548506,4111.0,14565.0,868.0
50.0,3.0,3062.0,0.21428571428571427,4188.0,14488.0,868.0
50.0,3.0,6125.0,0.21495088006549323,4201.0,14475.0,868.0
50.0,6.0,1531.0,0.23050552599263202,4505.0,14171.0,868.0
50.0,6.0,3062.0,0.24345067539909948,4758.0,13918.0,868.0
50.0,6.0,6125.0,0.24073884568153908,4705.0,13971.0,868.0
50.0,10.0,1531.0,0.2377200163733115,4646.0,14030.0,868.0
50.0,10.0,3062.0,0.2339336880884159,4572.0,14104.0,868.0
50.0,10.0,6125.0,0.23459885386819485,4585.0,14091.0,868.0
100.0,3.0,1531.0,0.24662300450266067,4820.0,13856.0,868.0
100.0,3.0,3062.0,0.24892550143266476,4865.0,13811.0,868.0
100.0,3.0,6125.0,0.25368399508800654,4958.0,13718.0,868.0
100.0,6.0,1531.0,0.28330945558739257,5537.0,13139.0,868.0
100.0,6.0,3062.0,0.2854072861236185,5578.0,13098.0,868.0
100.0,6.0,6125.0,0.28085345886205487,5489.0,13187.0,868.0
100.0,10.0,1531.0,0.29876176831764223,5839.0,12837.0,868.0
100.0,10.0,3062.0,0.29282644289807613,5723.0,12953.0,868.0
100.0,10.0,6125.0,0.29067744576340565,5681.0,12995.0,868.0
300.0,3.0,1531.0,0.23725951698731068,4637.0,14039.0,868.0
300.0,3.0,3062.0,0.23920384772820302,4675.0,14001.0,868.0
300.0,3.0,6125.0,0.23291035611952518,4552.0,14124.0,868.0
300.0,6.0,1531.0,0.274559967253377,5366.0,13310.0,868.0
300.0,6.0,3062.0,0.2686758084322554,5251.0,13425.0,868.0
300.0,6.0,6125.0,0.26918747441670077,5261.0,13415.0,868.0
300.0,10.0,1531.0,0.29026811297584937,5673.0,13003.0,868.0
300.0,10.0,3062.0,0.29482194023741304,5762.0,12914.0,868.0
300.0,10.0,6125.0,0.29308227589029884,5728.0,12948.0,868.0
